,question,is_evergreen,English,Russian,French,German,Hebrew,Arabic,Chinese
674,Who is Colin Farrell in a relationship with?,0,Who is Colin Farrell in a relationship with?,С кем встречается Колин Фаррелл?,Avec qui Colin Farrell est-il en couple ?,Mit wem ist Colin Farrell in einer Beziehung?,עם מי קולין פארל נמצא במערכת יחסים?,مع من يرتبط كولين فاريل بعلاقة؟,科林·法瑞尔正在和谁交往？
675,Who is the Archbishop of Rouen?,0,Who is the Archbishop of Rouen?,Кто архиепископ Руана?,Qui est l'archevêque de Rouen ?,Wer ist der Erzbischof von Rouen?,מיהו הארכיבישוף של רואן?,من هو رئيس أساقفة روان؟,鲁昂的大主教是谁？
676,What does Dick Savitt play with?,0,What does Dick Savitt play with?,С чем играет Дик Сэвитт?,Avec quoi Dick Savitt joue-t-il ?,Womit spielt Dick Savitt?,במה משחק דיק סאביט?,بماذا يلعب ديك سافيت؟,迪克·萨维特用什么打球？
677,Who is the head coach of Tokushima Vortis?,0,Who is the head coach of Tokushima Vortis?,Кто является главным тренером «Токусима Вортис»?,Qui est l'entraîneur principal de Tokushima Vortis ?,Wer ist der Cheftrainer von Tokushima Vortis?,מיהו המאמן הראשי של טוקושימה וורטיס?,من هو المدرب الرئيسي لفريق توكوشيما فورتيس؟,德岛漩涡队的主教练是谁？
678,Who is the director of the Metropolitan Museum of Art?,0,Who is the director of the Metropolitan Museum of Art?,Кто является директором Метрополитен-музея?,Qui est le directeur du Metropolitan Museum of Art ?,Wer ist der Direktor des Metropolitan Museum of Art?,מי הוא המנהל של מוזיאון המטרופוליטן לאמנות?,من هو مدير متحف المتروبوليتان للفنون؟,大都会艺术博物馆的馆长是谁？
679,Which music label represents A Hard Day's Night?,0,Which music label represents A Hard Day's Night?,"Какой музыкальный лейбл представляет песню ""Вечер трудного дня""?",Quelle maison de disques représente 'A Hard Day's Night' ?,Welches Musiklabel vertritt 'A Hard Day's Night'?,איזו חברת תקליטים מייצגת את 'A Hard Day's Night'?,أي شركة تسجيلات تمثل 'A Hard Day's Night'؟,哪家唱片公司代表《A Hard Day's Night》？
680,Which team does M'Baye Niang play for?,0,Which team does M'Baye Niang play for?,За какую команду играет М'Байе Ньянг?,Pour quelle équipe M'Baye Niang joue-t-il ?,Für welches Team spielt M'Baye Niang?,באיזו קבוצה משחק אמבייה ניאנג?,في أي فريق يلعب مباي نيانغ؟,姆巴耶·尼昂效力于哪支球队？
681,Where does Wolfgang Schäuble work?,0,Where does Wolfgang Schäuble work?,Где работает Вольфганг Шойбле?,Où travaille Wolfgang Schäuble ?,Wo arbeitet Wolfgang Schäuble?,איפה וולפגנג שאויבלה עובד?,أين يعمل فولفغانغ شويبله؟,沃尔夫冈·朔伊布勒在哪里工作？
682,"With whom is Honoré Gabriel Riqueti, comte de Mirabeau in a relationship?",0,"With whom is Honoré Gabriel Riqueti, comte de Mirabeau in a relationship?","С кем находится в отношениях Оноре Габриэль Рикети, граф де Мирабо?","Avec qui Honoré Gabriel Riqueti, comte de Mirabeau, est-il en couple ?","Mit wem ist Honoré Gabriel Riqueti, Comte de Mirabeau, in einer Beziehung?","עם מי נמצא אונורה גבריאל ריקטי, הרוזן דה מיראבו, במערכת יחסים?",مع من يرتبط أونوريه غابرييل ريكيتي، كونت دي ميرابو، بعلاقة؟,奥诺雷·加布里埃尔·里凯蒂·米拉波伯爵与谁有恋爱关系？
683,Who is the director of the National Museum of Mali?,0,Who is the director of the National Museum of Mali?,Кто является директором Национального музея Мали?,Qui est le directeur du Musée national du Mali ?,Wer ist der Direktor des Nationalmuseums von Mali?,מי הוא מנהל המוזיאון הלאומי של מאלי?,من هو مدير المتحف الوطني في مالي؟,谁是马里国家博物馆的馆长？
684,Who is Keri Russell in a relationship with?,0,Who is Keri Russell in a relationship with?,С кем Кери Рассел в отношениях?,Avec qui Keri Russell est-elle en couple ?,Mit wem ist Keri Russell in einer Beziehung?,עם מי קרי ראסל נמצאת במערכת יחסים?,مع من ترتبط كيري راسل بعلاقة؟,凯丽·拉塞尔正在和谁交往？
685,Where is Franz Joseph I of Austria's place of residence located?,0,Where is Franz Joseph I of Austria's place of residence located?,Где находится место жительства Франца Иосифа I Австрийского?,Où se trouve la résidence de François-Joseph Ier d'Autriche ?,Wo befindet sich der Wohnsitz von Franz Joseph I. von Österreich?,היכן נמצא מקום מגוריו של פרנץ יוזף הראשון מאוסטריה?,أين يقع مقر إقامة فرانز جوزيف الأول إمبراطور النمسا؟,奥地利的弗朗茨·约瑟夫一世的居所位于哪里？
686,Who is the head coach of the Albania national association football team?,0,Who is the head coach of the Albania national association football team?,Кто является главным тренером национальной сборной Албании по футболу?,Qui est l'entraîneur principal de l'équipe nationale de football d'Albanie ?,Wer ist der Cheftrainer der albanischen Fußballnationalmannschaft?,מי המאמן הראשי של נבחרת אלבניה בכדורגל?,من هو المدرب الرئيسي للمنتخب الوطني الألباني لكرة القدم؟,谁是阿尔巴尼亚国家足球队的主教练？
687,Who does Hermann Abert work for?,0,Who does Hermann Abert work for?,Кем работает Герман Аберт?,Pour qui travaille Hermann Abert ?,Für wen arbeitet Hermann Abert?,עבור מי הרמן אברט עובד?,لمن يعمل هيرمان أبيرت؟,赫尔曼·阿贝特为谁工作？
688,Who is Henry II of Castile in a relationship with?,0,Who is Henry II of Castile in a relationship with?,Кто находится в отношениях с Генрихом II Кастильским?,Avec qui Henri II de Castille est-il en couple ?,Mit wem ist Heinrich II. von Kastilien in einer Beziehung?,עם מי הנרי השני מקסטיליה נמצא במערכת יחסים?,مع من يرتبط هنري الثاني ملك قشتالة بعلاقة؟,卡斯蒂利亚的亨利二世与谁有关系？
689,Who is the director of the Munich International Film Festival?,0,Who is the director of the Munich International Film Festival?,Кто является режиссёром Мюнхенского международного кинофестиваля?,Qui est le directeur du Festival international du film de Munich ?,Wer ist der Direktor des Internationalen Filmfestivals München?,מי הוא המנהל של פסטיבל הסרטים הבינלאומי של מינכן?,من هو مدير مهرجان ميونخ الدولي للأفلام؟,慕尼黑国际电影节的导演是谁？
690,Who holds the position of Lieutenant Governor of Jersey?,0,Who holds the position of Lieutenant Governor of Jersey?,Кто занимает должность лейтенант-губернатора Джерси?,Qui occupe le poste de lieutenant-gouverneur de Jersey ?,Wer hat das Amt des Vizegouverneurs von Jersey inne?,מי מחזיק בתפקיד סגן המושל של ג'רזי?,من يشغل منصب نائب حاكم جيرزي؟,谁担任泽西岛副总督一职？
691,Who is the presiding member of FC Barcelona Femení?,0,Who is the presiding member of FC Barcelona Femení?,Кто является председателем FC Barcelona Femení?,Qui est le membre présidant du FC Barcelona Femení ?,Wer ist das vorsitzende Mitglied des FC Barcelona Femení?,מי הוא החבר המכהן של FC Barcelona Femení?,من هو العضو الذي يترأس نادي برشلونة النسائي (FC Barcelona Femení)؟,谁是巴塞罗那女足（FC Barcelona Femení）的主席成员？
692,Who is the person at the head of the government of Sendai?,0,Who is the person at the head of the government of Sendai?,Кто является главой правительства Сендая?,Qui est la personne à la tête du gouvernement de Sendai ?,Wer ist die Person an der Spitze der Regierung von Sendai?,מי עומד בראש ממשלת סנדאי?,من هو الشخص الذي يرأس حكومة سينداي؟,谁是仙台市政府的负责人？
693,Who is the person at the head of the government of Eisenach?,0,Who is the person at the head of the government of Eisenach?,Кто является главой правительства Эйзенаха?,Qui est la personne à la tête du gouvernement d'Eisenach ?,Wer ist die Person an der Spitze der Regierung von Eisenach?,מי עומד בראש ממשלת אייזנך?,من هو الشخص الذي يرأس حكومة آيزناخ؟,谁是艾森纳赫政府的负责人？
694,With whom is John Abraham in a relationship?,0,With whom is John Abraham in a relationship?,С кем Джон Абрахам находится в отношениях?,Avec qui John Abraham est-il en couple ?,Mit wem ist John Abraham in einer Beziehung?,עם מי ג'ון אברהם נמצא במערכת יחסים?,مع من يرتبط جون أبراهام بعلاقة؟,约翰·亚伯拉罕正在和谁交往？
695,Who is the head coach of Hércules CF?,0,Who is the head coach of Hércules CF?,Кто является главным тренером Херкулеса?,Qui est l'entraîneur principal du Hércules CF ?,Wer ist der Cheftrainer von Hércules CF?,מי המאמן הראשי של הרקולס CF?,من هو المدرب الرئيسي لنادي هيركوليس CF؟,赫库勒斯CF的主教练是谁？
696,Who is the director of Nintendo?,0,Who is the director of Nintendo?,Кто является директором Nintendo?,Qui est le directeur de Nintendo ?,Wer ist der Direktor von Nintendo?,מיהו המנהל של נינטנדו?,من هو مدير نينتندو؟,任天堂的董事是谁？
697,Who is the director of Deutsche Gesellschaft für Internationale Zusammenarbeit?,0,Who is the director of Deutsche Gesellschaft für Internationale Zusammenarbeit?,Кто является директором Немецкого общества международного сотрудничества?,Qui est le directeur de la Deutsche Gesellschaft für Internationale Zusammenarbeit ?,Wer ist der Direktor der Deutschen Gesellschaft für Internationale Zusammenarbeit?,מי הוא המנהל של Deutsche Gesellschaft für Internationale Zusammenarbeit?,من هو مدير Deutsche Gesellschaft für Internationale Zusammenarbeit؟,谁是德国国际合作机构（Deutsche Gesellschaft für Internationale Zusammenarbeit）的负责人？
698,Where is Cat Stevens' place of residence located?,0,Where is Cat Stevens' place of residence located?,Где находится место жительства Кэта Стивенса?,Où se trouve le lieu de résidence de Cat Stevens ?,Wo befindet sich der Wohnsitz von Cat Stevens?,היכן נמצא מקום מגוריו של קאט סטיבנס?,أين يقع مكان إقامة كات ستيفنز؟,Cat Stevens的居住地在哪里？
699,Who is the head coach of the Lithuanian Football Federation?,0,Who is the head coach of the Lithuanian Football Federation?,Кто является главным тренером Федерации футбола Литвы?,Qui est l'entraîneur principal de la Fédération lituanienne de football ?,Wer ist der Cheftrainer des litauischen Fußballverbands?,מיהו המאמן הראשי של התאחדות הכדורגל הליטאית?,من هو المدرب الرئيسي لاتحاد كرة القدم الليتواني؟,谁是立陶宛足球协会的主教练？
700,Who is the head coach of Ironi Kiryat Shmona F.C.?,0,Who is the head coach of Ironi Kiryat Shmona F.C.?,Кто является главным тренером футбольного клуба «Ирони» Кирьят-Шмона?,Qui est l'entraîneur principal de l'Ironi Kiryat Shmona F.C. ?,Wer ist der Cheftrainer von Ironi Kiryat Shmona F.C.?,מיהו המאמן הראשי של עירוני קריית שמונה?,من هو المدرب الرئيسي لنادي إيروني كريات شمונה؟,谁是伊罗尼基里亚特什莫纳足球俱乐部的主教练？
701,Who is Carla Bruni in a relationship with?,0,Who is Carla Bruni in a relationship with?,С кем находится в отношениях Карла Бруни?,Avec qui Carla Bruni est-elle en couple ?,Mit wem ist Carla Bruni in einer Beziehung?,עם מי קרלה ברוני נמצאת במערכת יחסים?,مع من ترتبط كارلا بروني بعلاقة؟,卡拉·布鲁尼和谁在交往？
702,Who was the director of the First Council of Ephesus?,0,Who was the director of the First Council of Ephesus?,Кто был руководителем Первого Эфесского собора?,Qui était le président du premier concile d'Éphèse ?,Wer war der Vorsitzende des ersten Konzils von Ephesus?,מי היה יושב הראש של ועידת אפסוס הראשונה?,من كان رئيس مجمع أفسس الأول؟,以弗所第一次大公会议的主持人是谁？
703,Who is the head coach of the Maldives national football team?,0,Who is the head coach of the Maldives national football team?,Кто является главным тренером национальной футбольной команды Мальдив?,Qui est l'entraîneur principal de l'équipe nationale de football des Maldives ?,Wer ist der Cheftrainer der maledivischen Fußballnationalmannschaft?,מי המאמן הראשי של נבחרת הכדורגל של האיים המלדיביים?,من هو المدرب الرئيسي للمنتخب الوطني لكرة القدم في جزر المالديف؟,谁是马尔代夫国家足球队的主教练？
704,In which location does Vsevolod Pudovkin work?,0,In which location does Vsevolod Pudovkin work?,Где работает Всеволод Пудовкин?,À quel endroit Vsevolod Pudovkin travaille-t-il ?,An welchem Ort arbeitet Wsewolod Pudowkin?,באיזה מקום עובד וסבולוד פודובקין?,في أي مكان يعمل فسيفولود بودوفكين؟,弗谢沃洛德·普多夫金在什么地方工作？
705,Which music label represents Mayumi Iizuka?,0,Which music label represents Mayumi Iizuka?,Какой музыкальный лейбл представляет Маюми Иидзука?,Quel label de musique représente Mayumi Iizuka ?,Welches Musiklabel vertritt Mayumi Iizuka?,איזו חברת תקליטים מייצגת את מאיומי איזוקה?,أي شركة تسجيلات تمثل ما يومي إييزوكا؟,哪家音乐公司代表饭冢真弓？
706,Which music label represents Bad Romance?,0,Which music label represents Bad Romance?,Какой музыкальный лейбл представляет песню Bad Romance?,Quel label de musique représente Bad Romance ?,Welches Musiklabel vertritt Bad Romance?,איזו חברת תקליטים מייצגת את Bad Romance?,أي شركة تسجيلات تمثل أغنية Bad Romance؟,哪家音乐公司代表《Bad Romance》？
707,What position does Václav Klaus have?,0,What position does Václav Klaus have?,Какую должность занимает Václav Klaus?,Quel poste occupe Václav Klaus ?,Welche Position hat Václav Klaus?,איזה תפקיד יש לואצלב קלאוס?,ما هو المنصب الذي يشغله فاتسلاف كلاوس؟,瓦茨拉夫·克劳斯担任什么职位？
708,Who is the person at the head of the government of Amman?,0,Who is the person at the head of the government of Amman?,Кто является главой правительства Аммана?,Qui est la personne à la tête du gouvernement d'Amman ?,Wer ist die Person an der Spitze der Regierung von Amman?,מי עומד בראש ממשלת עמאן?,من هو الشخص الذي يرأس حكومة عمّان؟,谁是安曼政府的负责人？
709,Who is the head coach of the Yemen national football team?,0,Who is the head coach of the Yemen national football team?,Кто является главным тренером национальной сборной Йемена по футболу?,Qui est l'entraîneur principal de l'équipe nationale de football du Yémen ?,Wer ist der Cheftrainer der jemenitischen Fußballnationalmannschaft?,מי המאמן הראשי של נבחרת הכדורגל הלאומית של תימן?,من هو المدرب الرئيسي للمنتخب الوطني اليمني لكرة القدم؟,也门国家足球队的主教练是谁？
710,Who is the person at the head of the government of the Kingdom of the Netherlands?,0,Who is the person at the head of the government of the Kingdom of the Netherlands?,"Кто является лицом, стоящим во главе правительства Королевства Нидерландов?",Qui est la personne à la tête du gouvernement du Royaume des Pays-Bas ?,Wer steht an der Spitze der Regierung des Königreichs der Niederlande?,מי עומד בראש ממשלת ממלכת הולנד?,من هو الشخص الذي يرأس حكومة مملكة هولندا؟,谁是荷兰王国政府的首脑？
711,Who is the party chief of Ningxia?,0,Who is the party chief of Ningxia?,Кто является главой партии Нинся?,Qui est le chef du parti du Ningxia ?,Wer ist der Parteichef von Ningxia?,מי הוא ראש המפלגה של נינגשיה?,من هو رئيس الحزب في نينغشيا؟,宁夏的党委书记是谁？
712,Who is the presiding member of the Intergovernmental Panel on Climate Change?,0,Who is the presiding member of the Intergovernmental Panel on Climate Change?,Кто является председателем Межправительственной группы экспертов по изменению климата?,Qui est le président du Groupe d'experts intergouvernemental sur l'évolution du climat ?,Wer ist der Vorsitzende des Zwischenstaatlichen Ausschusses für Klimaänderungen?,מי הוא היושב ראש של הפאנל הבין-ממשלתי לשינויי אקלים?,من هو الرئيس الحالي للهيئة الحكومية الدولية المعنية بتغير المناخ؟,谁是政府间气候变化专门委员会的主席？
713,Which music label represents Patti Smith?,0,Which music label represents Patti Smith?,Какой музыкальный лейбл представляет Патти Смит?,Quelle maison de disques représente Patti Smith ?,Welches Musiklabel vertritt Patti Smith?,איזו חברת תקליטים מייצגת את פטי סמית'?,أي شركة تسجيلات تمثل باتي سميث؟,哪家音乐厂牌代表帕蒂·史密斯？
714,Who is the person at the head of the government of New Zealand?,0,Who is the person at the head of the government of New Zealand?,Кто является главой правительства Новой Зеландии?,Qui est la personne à la tête du gouvernement de la Nouvelle-Zélande ?,Wer ist die Person an der Spitze der Regierung von Neuseeland?,מי עומד בראש ממשלת ניו זילנד?,من هو الشخص الذي يرأس حكومة نيوزيلندا؟,谁是新西兰政府的领导人？
715,Who does Linus Torvalds work for?,0,Who does Linus Torvalds work for?,Кем работает Линус Торвальдс?,Pour qui travaille Linus Torvalds ?,Für wen arbeitet Linus Torvalds?,עבור מי עובד לינוס טורבאלדס?,لمن يعمل لينوس تورفالدس؟,林纳斯·托瓦兹为谁工作？
716,Which music label represents Kevin Costner?,0,Which music label represents Kevin Costner?,Какой музыкальный лейбл представляет Кевина Костнера?,Quelle maison de disques représente Kevin Costner ?,Welches Musiklabel vertritt Kevin Costner?,איזו חברת תקליטים מייצגת את קווין קוסטנר?,أي شركة إنتاج موسيقي تمثل كيفن كوستنر؟,哪家音乐公司代表凯文·科斯特纳？
717,With whom is Daredevil in a relationship?,0,With whom is Daredevil in a relationship?,С кем находится в отношениях Сорвиголова?,Avec qui Daredevil est-il en couple ?,Mit wem ist Daredevil in einer Beziehung?,עם מי דרדוויל נמצא במערכת יחסים?,مع من يرتبط ديرديفيل بعلاقة؟,夜魔侠和谁在谈恋爱？
718,What does Missy Franklin play with?,0,What does Missy Franklin play with?,С чем играет Мисси Франклин?,Avec quoi Missy Franklin joue-t-elle ?,Womit spielt Missy Franklin?,במה משחקת מיסי פרנקלין?,بماذا تلعب ميسي فرانكلين؟,Missy Franklin玩什么？
719,Which music label represents Merle Haggard?,0,Which music label represents Merle Haggard?,Какой музыкальный лейбл представляет Мерла Хаггарда?,Quelle maison de disques représente Merle Haggard ?,Welches Musiklabel vertritt Merle Haggard?,איזו חברת תקליטים מייצגת את מרל האגרד?,أي شركة تسجيلات تمثل ميرل هاغارد؟,哪家音乐厂牌代表梅尔·哈格德？
720,Who is the director of Germanisches Nationalmuseum?,0,Who is the director of Germanisches Nationalmuseum?,Кто является директором Германского национального музея?,Qui est le directeur du Germanisches Nationalmuseum ?,Wer ist der Direktor des Germanischen Nationalmuseums?,מי המנהל של המוזיאון הלאומי הגרמני (Germanisches Nationalmuseum)?,من هو مدير المتحف الوطني الجرماني (Germanisches Nationalmuseum)؟,谁是日耳曼国家博物馆（Germanisches Nationalmuseum）的馆长？
721,Who does Joan Higginbotham work for?,0,Who does Joan Higginbotham work for?,Кем работает Джоан Хиггинботэм?,Pour qui Joan Higginbotham travaille-t-elle ?,Für wen arbeitet Joan Higginbotham?,עבור מי ג'ואן היגינבות'ם עובדת?,لمن تعمل جوان هيغينبوثام؟,琼·希金博萨姆为谁工作？
722,What position did Henry Ford have?,0,What position did Henry Ford have?,Какую должность занимал Генри Форд?,Quel poste Henry Ford occupait-il ?,Welche Position hatte Henry Ford?,איזה תפקיד היה להנרי פורד?,ما المنصب الذي شغله هنري فورد؟,亨利·福特担任什么职位？
723,Where does Leonidas I work?,0,Where does Leonidas I work?,Где работает Леонид I?,Où travaille Léonidas Ier ?,Wo arbeitet Leonidas I.?,איפה ליאונידס הראשון עובד?,أين يعمل ليونيداس الأول؟,列奥尼达一世在哪里工作？
724,Who is the director of the Belarusian National Arts Museum?,0,Who is the director of the Belarusian National Arts Museum?,Кто является директором Национального художественного музея Беларуси?,Qui est le directeur du Musée national des beaux-arts de Biélorussie ?,Wer ist der Direktor des Belarussischen Nationalen Kunstmuseums?,מיהו מנהל המוזיאון הלאומי לאמנות של בלארוס?,من هو مدير المتحف الوطني للفنون في بيلاروسيا؟,白俄罗斯国家艺术博物馆的馆长是谁？
725,Where is Eugen Bleuler's place of residence located?,0,Where is Eugen Bleuler's place of residence located?,Где находится место жительства Евгения Блейлера?,Où se trouve le lieu de résidence d'Eugen Bleuler ?,Wo befindet sich der Wohnort von Eugen Bleuler?,היכן נמצא מקום מגוריו של אויגן בלוילר?,أين يقع مكان إقامة أوغن بلويلر؟,欧根·布洛伊勒的居住地在哪里？
726,What position did Gottlieb Daimler hold?,0,What position did Gottlieb Daimler hold?,Какую должность занимал Готлиб Даймлер?,Quel poste Gottlieb Daimler occupait-il ?,Welche Position hatte Gottlieb Daimler inne?,איזה תפקיד החזיק גוטליב דיימלר?,ما المنصب الذي شغله غوتليب دايملر؟,戈特利布·戴姆勒担任过什么职位？
727,Where does Friedrich Wilhelm Argelander work?,0,Where does Friedrich Wilhelm Argelander work?,Где работает Фридрих Вильгельм Аргеландер?,Où travaille Friedrich Wilhelm Argelander ?,Wo arbeitet Friedrich Wilhelm Argelander?,איפה פרידריך וילהלם ארגלנדר עובד?,أين يعمل فريدريش فيلهلم أرجلاندر؟,弗里德里希·威廉·阿格兰德在哪里工作？
728,Who is the person at the head of the government of Gibraltar?,0,Who is the person at the head of the government of Gibraltar?,Кто является главой правительства Гибралтара?,Qui est la personne à la tête du gouvernement de Gibraltar ?,Wer ist die Person an der Spitze der Regierung von Gibraltar?,מי עומד בראש ממשלת גיברלטר?,من هو الشخص الذي يترأس حكومة جبل طارق؟,直布罗陀政府的首脑是谁？
729,Who is the party chief of Guizhou?,0,Who is the party chief of Guizhou?,Кто является руководителем партии Гуйчжоу?,Qui est le chef du parti du Guizhou ?,Wer ist der Parteichef von Guizhou?,מי הוא ראש המפלגה של גуйג'ואו?,من هو رئيس الحزب في قويتشو؟,贵州的党委书记是谁？
730,Who is the head coach of Tottenham Hotspur F.C.?,0,Who is the head coach of Tottenham Hotspur F.C.?,Кто является главным тренером футбольного клуба «Тоттенхэм Хотспур»?,Qui est l'entraîneur principal de Tottenham Hotspur F.C. ?,Wer ist der Cheftrainer von Tottenham Hotspur F.C.?,מי המאמן הראשי של טוטנהאם הוטספר?,من هو المدرب الرئيسي لنادي توتنهام هوتسبير؟,托特纳姆热刺足球俱乐部的主教练是谁？
731,Who does Bob Bryan play with?,0,Who does Bob Bryan play with?,С кем играет Боб Брайан?,Avec qui Bob Bryan joue-t-il ?,Mit wem spielt Bob Bryan?,עם מי בוב בראיין משחק?,مع من يلعب بوب برايان؟,鲍勃·布莱恩和谁搭档？
732,Who holds the position of Minister of Foreign Affairs of Canada?,0,Who holds the position of Minister of Foreign Affairs of Canada?,Кто занимает должность министра иностранных дел Канады?,Qui occupe le poste de ministre des Affaires étrangères du Canada ?,Wer hat das Amt des Außenministers von Kanada inne?,מי מחזיק בתפקיד שר החוץ של קנדה?,من يشغل منصب وزير الخارجية في كندا؟,谁担任加拿大外交部长？
733,Where is Chuck Berry's place of residence located?,0,Where is Chuck Berry's place of residence located?,Где находится место проживания Чака Берри?,Où se trouve le lieu de résidence de Chuck Berry ?,Wo befindet sich der Wohnsitz von Chuck Berry?,היכן נמצא מקום מגוריו של צ'אק ברי?,أين يقع مكان إقامة تشاك بيري؟,查克·贝里的居住地在哪里？
734,Where does Michael Cimino work?,0,Where does Michael Cimino work?,Где работает Майкл Чимино?,Où travaille Michael Cimino ?,Wo arbeitet Michael Cimino?,איפה מייקל צ'ימינו עובד?,أين يعمل مايكل تشيمينو؟,迈克尔·奇米诺在哪里工作？
735,Who is the head coach of Lucie Šafářová?,0,Who is the head coach of Lucie Šafářová?,Кто является главным тренером Люси Шафаржовой?,Qui est l'entraîneur principal de Lucie Šafářová ?,Wer ist der Cheftrainer von Lucie Šafářová?,מיהו המאמן הראשי של לוצ'יה שפארובה?,من هو المدرب الرئيسي للوتشي شفاروفا؟,谁是露西·萨法洛娃的主教练？
736,For whom does Maya Angelou work?,0,For whom does Maya Angelou work?,Для кого работает Майя Энджело?,Pour qui Maya Angelou travaille-t-elle ?,Für wen arbeitet Maya Angelou?,עבור מי מאיה אנג'לו עובדת?,لمن تعمل مايا أنجيلو؟,玛雅·安吉洛为谁工作？
737,Which music label represents Robbie Robertson?,0,Which music label represents Robbie Robertson?,Какой музыкальный лейбл представляет Робби Робертсона?,Quelle maison de disques représente Robbie Robertson ?,Welches Musiklabel vertritt Robbie Robertson?,איזו חברת תקליטים מייצגת את רובי רוברטסון?,أي شركة تسجيلات تمثل روبي روبرتسون؟,哪家音乐厂牌代表罗比·罗伯逊？
738,Who is the head coach of Andy Roddick?,0,Who is the head coach of Andy Roddick?,Кто является главным тренером Энди Роддика?,Qui est l'entraîneur principal d'Andy Roddick ?,Wer ist der Cheftrainer von Andy Roddick?,מי המאמן הראשי של אנדי רודיק?,من هو المدرب الرئيسي لآندي روديك؟,安迪·罗迪克的主教练是谁？
739,With whom is Annie Leibovitz in a relationship?,0,With whom is Annie Leibovitz in a relationship?,С кем Анни Лейбовиц находится в отношениях?,Avec qui Annie Leibovitz est-elle en couple ?,Mit wem ist Annie Leibovitz in einer Beziehung?,עם מי אנני ליבוביץ' נמצאת במערכת יחסים?,مع من ترتبط آني ليبوفيتز بعلاقة؟,安妮·莱博维茨与谁在交往？
740,Who is the head coach of A.C.R. Messina?,0,Who is the head coach of A.C.R. Messina?,Кто является главным тренером А.К.Р. Мессина?,Qui est l'entraîneur principal de l'A.C.R. Messina ?,Wer ist der Cheftrainer von A.C.R. Messina?,מיהו המאמן הראשי של א.צ'.ר. מסינה?,من هو المدرب الرئيسي لنادي إيه سي آر ميسينا؟,谁是A.C.R. 梅西纳的主教练？
741,Who is the director of GAME FREAK?,0,Who is the director of GAME FREAK?,Кто является директором GAME FREAK?,Qui est le directeur de GAME FREAK ?,Wer ist der Direktor von GAME FREAK?,מי המנהל של GAME FREAK?,من هو مدير GAME FREAK؟,GAME FREAK的导演是谁？
742,Where is Douglas Fairbanks' place of residence located?,0,Where is Douglas Fairbanks' place of residence located?,Где находится место жительства Дугласа Фэрбенкса?,Où se trouve le lieu de résidence de Douglas Fairbanks ?,Wo befindet sich der Wohnsitz von Douglas Fairbanks?,היכן ממוקם מקום מגוריו של דאגלס פיירבנקס?,أين يقع مكان إقامة دوغلاس فيربانكس؟,道格拉斯·费尔班克斯的住所在哪里？
743,Which music label represents Michael Schenker?,0,Which music label represents Michael Schenker?,Какой музыкальный лейбл представляет Майкла Шенкера?,Quelle maison de disques représente Michael Schenker ?,Welches Musiklabel vertritt Michael Schenker?,איזו חברת תקליטים מייצגת את מייקל שנקר?,أي شركة تسجيلات تمثل مايكل شينكر؟,哪家音乐厂牌代表迈克尔·申克？
744,Who is the director of Festival Interceltique de Lorient?,0,Who is the director of Festival Interceltique de Lorient?,Кто является директором Festival Interceltique de Lorient?,Qui est le directeur du Festival Interceltique de Lorient ?,Wer ist der Direktor des Festival Interceltique de Lorient?,מי הוא המנהל של פסטיבל אינטרסלטיק דה לוריין?,من هو مدير مهرجان إنترسلتيك دي لوريان؟,洛里昂国际凯尔特节的导演是谁？
745,Who is the head coach of Portland Timbers?,0,Who is the head coach of Portland Timbers?,Кто является главным тренером «Портленд Тимберс»?,Qui est l'entraîneur principal des Portland Timbers ?,Wer ist der Cheftrainer der Portland Timbers?,מי המאמן הראשי של פורטלנד טימברס?,من هو المدرب الرئيسي لفريق بورتلاند تمبرز؟,波特兰伐木者队的主教练是谁？
746,Where does Emil Fischer work?,0,Where does Emil Fischer work?,Где работает Эмиль Фишер?,Où travaille Emil Fischer ?,Wo arbeitet Emil Fischer?,איפה אמיל פישר עובד?,أين يعمل إميل فيشر؟,埃米尔·费舍尔在哪里工作？
747,Who is Leslie Cheung in a relationship with?,0,Who is Leslie Cheung in a relationship with?,Кто такой Лесли Чун и с кем он находится в отношениях?,Avec qui Leslie Cheung est-il en couple ?,Mit wem ist Leslie Cheung in einer Beziehung?,עם מי לסלי צ'אנג נמצא במערכת יחסים?,مع من يرتبط ليزلي تشيونغ بعلاقة؟,张国荣和谁在交往？
748,Who holds the office of Lieutenant Governor of Georgia?,0,Who holds the office of Lieutenant Governor of Georgia?,Кто занимает должность вице-губернатора Джорджии?,Qui occupe le poste de lieutenant-gouverneur de la Géorgie ?,Wer hat das Amt des Vizegouverneurs von Georgia inne?,מי מחזיק במשרת סגן מושל ג'ורג'יה?,من يشغل منصب نائب حاكم ولاية جورجيا؟,谁担任佐治亚州副州长？
749,Who is the director of Edenred?,0,Who is the director of Edenred?,Кто является директором Edenred?,Qui est le directeur d'Edenred ?,Wer ist der Geschäftsführer von Edenred?,מיהו המנהל של Edenred?,من هو مدير Edenred؟,Edenred 的董事是谁？
