,is_evergreen,en_Answer,English,French,German,Hebrew,Arabic,Chinese,Russian
965,1,Muammar Muhammad Abu Minyar al-Gaddafi was the de facto leader of Libya from 1969 to 2011.,Which country was ruled by Muammar Gaddafi for more than 40 years?,Quel pays a été dirigé par Mouammar Kadhafi pendant plus de 40 ans ?,Welches Land wurde mehr als 40 Jahre lang von Muammar al-Gaddafi regiert?,איזו מדינה נשלטה על ידי מועמר קדאפי במשך יותר מ-40 שנה?,أي دولة حكمها معمر القذافي لأكثر من 40 عامًا؟,哪个国家被穆阿迈尔·卡扎菲统治了40多年？,Какой страной более 40 лет правил Муаммар Каддафи?
966,1,Maykop is the capital of the Republic of Adygea.,In which region of Russia is the city of Maykop located?,Dans quelle région de la Russie se trouve la ville de Maïkop ?,In welcher Region Russlands liegt die Stadt Maikop?,באיזה אזור ברוסיה נמצאת העיר מייקופ?,في أي منطقة من روسيا تقع مدينة مايكوب؟,马伊科普市位于俄罗斯的哪个地区？,В каком регионе России находится город Майкоп?
967,1,Antananarivo is the capital of Madagascar.,Antananarivo is the capital of which country?,Antananarivo est la capitale de quel pays ?,Antananarivo ist die Hauptstadt welches Landes?,אנטננריבו היא בירת איזו מדינה?,أنتاناناريفو هي عاصمة أي دولة؟,安塔那那利佛是哪个国家的首都？,Столицей какой страны является Антананариву?
968,1,Newton's third law or the law of action and reaction is one of the three basic laws of Newtonian mechanics.,Who formulated the law that every action has an equal and opposite reaction?,Qui a formulé la loi selon laquelle toute action a une réaction égale et opposée ?,"Wer hat das Gesetz formuliert, dass jede Aktion eine gleich große, entgegengesetzte Reaktion hat?",מי ניסח את החוק שלפיו לכל פעולה יש תגובה שווה והפוכה?,من صاغ القانون الذي ينص على أن لكل فعل رد فعل مساوٍ ومعاكس؟,是谁提出了每个作用都有一个大小相等、方向相反的反作用这一定律？,"Кем был сформулирован закон, что действию всегда есть равное противодействие?"
969,1,"Newton's laws are the three most important laws of classical mechanics, which allow the equations of motion to be written for any mechanical system, if the forces acting on the bodies that make it up are known.",Which scientist discovered the three laws that form the basis of classical mechanics?,Quel scientifique a découvert les trois lois qui forment la base de la mécanique classique ?,"Welcher Wissenschaftler entdeckte die drei Gesetze, die die Grundlage der klassischen Mechanik bilden?",איזה מדען גילה את שלושת החוקים שמרכיבים את הבסיס למכניקה הקלאסית?,أي عالم اكتشف القوانين الثلاثة التي تشكل أساس الميكانيكا الكلاسيكية؟,哪位科学家发现了构成经典力学基础的三大定律？,"Какой ученый открыл три закона, лежащие в основе классической механики?"
970,1,Shakira was born in the Colombian city of Barranquilla.,Where was the singer Shakira born?,Où la chanteuse Shakira est-elle née ?,Wo wurde die Sängerin Shakira geboren?,איפה נולדה הזמרת שאקירה?,أين وُلدت المغنية شاكيرا؟,歌手夏奇拉是在哪里出生的？,Где родилась певица Шакира?
971,1,"M.Y. Lermontov studied in a university boarding school in Moscow, and in 1830 he entered Moscow University and studied in the moral-political, and then in the literary department.",Where did Lermontov study?,Où Lermontov a-t-il étudié ?,Wo hat Lermontow studiert?,איפה למד לרמונטוב?,أين درس ليرمونتوف؟,莱蒙托夫在哪里学习？,Где учился Лермонтов?
972,1,General Augusto Pinochet carried out a military coup in Chile.,In which country did General Augusto Pinochet carry out a military coup in 1973?,Dans quel pays le général Augusto Pinochet a-t-il mené un coup d'État militaire en 1973 ?,In welchem Land führte General Augusto Pinochet 1973 einen Militärputsch durch?,באיזו מדינה ביצע הגנרל אוגוסטו פינושה הפיכה צבאית בשנת 1973?,في أي دولة نفذ الجنرال أوغستو بينوشيه انقلابًا عسكريًا في عام 1973؟,奥古斯托·皮诺切特将军于1973年在哪个国家发动了军事政变？,В какой стране в 1973 году генерал Аугусто Пиночет осуществил военный переворот?
973,1,"Leprosy, also known as Hansen's disease, is a chronic infectious disease that primarily affects the skin and peripheral nervous system.",What disease is called 'leprosy'?,Quelle maladie est appelée 'lèpre' ?,Welche Krankheit wird als 'Lepra' bezeichnet?,איזו מחלה נקראת 'צרעת'?,ما هو المرض الذي يُسمى 'الجذام'؟,哪种疾病被称为“麻风病”？,"Какую болезнь называют ""лепра""?"
974,1,"""Kidnapping, Caucasian Style or Shurik's New Adventures"" is a Soviet comedy film directed by Leonid Gaidai.","Who directed the sparkling 'Kidnapping, Caucasian Style' (surname)?",Qui a réalisé le pétillant 'Le Kidnapping au Caucase' (nom de famille) ?,Wer führte bei dem spritzigen 'Entführung im Kaukasus' Regie (Nachname)?,מי ביים את 'חטיפה בסגנון קווקזי' הנוצץ (שם משפחה)?,من أخرج الفيلم البراق 'اختطاف على الطريقة القوقازية' (اسم العائلة)؟,谁执导了精彩的《高加索风格的绑架》（姓氏）？,"Кто снял искрометную ""Кавказскую пленницу"" (фамилия)?"
975,1,Makhachkala is the capital of Dagestan.,What city is the capital of the Republic of Dagestan?,Quelle ville est la capitale de la République du Daghestan ?,Welche Stadt ist die Hauptstadt der Republik Dagestan?,איזו עיר היא בירת רפובליקת דאגסטן?,ما هي المدينة التي تعتبر عاصمة جمهورية داغستان؟,哪个城市是达吉斯坦共和国的首都？,Какой город столица республики Дагестан?
976,1,"""From Two to Five"" is a book by Korney Chukovsky.",Which children's author wrote the book 'From Two to Five'?,Quel auteur pour enfants a écrit le livre 'De deux à cinq ans' ?,Welcher Kinderbuchautor schrieb das Buch 'Von zwei bis fünf'?,איזה סופר ילדים כתב את הספר 'משניים לחמש'?,أي كاتب أطفال كتب كتاب 'من سنتين إلى خمس سنوات'؟,哪位儿童作家写了《从两岁到五岁》这本书？,"Кто из детских писателей написал книгу ""От двух до пяти""?"
977,1,Freddie Mercury is the lead vocalist of the rock band Queen.,Which musical group was Freddie Mercury the lead singer of?,De quel groupe musical Freddie Mercury était-il le chanteur principal ?,Von welcher Musikgruppe war Freddie Mercury der Leadsänger?,באיזו להקה היה פרדי מרקורי הסולן הראשי?,ما هي الفرقة الموسيقية التي كان فريدي ميركوري المغني الرئيسي فيها؟,弗雷迪·默丘里是哪个乐队的主唱？,Лидером какой музыкальной группы был Фред Меркьюри?
978,1,Vladimir Zhirinovsky was the leader of the LDPR faction in the State Duma.,Which party is Zhirinovsky the leader of (abbr.)?,De quel parti Zhirinovsky est-il le chef (abréviation) ?,Von welcher Partei ist Schirinowski der Vorsitzende (Abkürzung)?,איזה מפלגה ז'ירינובסקי עומד בראשה (קיצור)?,ما هو الحزب الذي يترأسه جيرينوفسكي (اختصار)؟,日里诺夫斯基是哪个党的领导人（缩写）？,Какую партию возглавляет Жириновский (аббрев.)?
979,1,Ulan-Ude is the capital of the Republic of Buryatia.,Which city is the capital of the Republic of Buryatia?,Quelle ville est la capitale de la République de Bouriatie ?,Welche Stadt ist die Hauptstadt der Republik Burjatien?,איזו עיר היא בירת רפובליקת בוריאטיה?,ما هي المدينة التي تعد عاصمة جمهورية بورياتيا؟,哪个城市是布里亚特共和国的首府？,Какой город является столицей республики Бурятия?
980,1,"""The Knight of Sainte-Hermine"" is the last, unfinished historical novel by French author Alexandre Dumas, père.",Who is the author of the book 'Chevalier de Saint-Hermine'?,Qui est l'auteur du livre 'Chevalier de Saint-Hermine' ?,Wer ist der Autor des Buches 'Chevalier de Saint-Hermine'?,מיהו מחבר הספר 'Chevalier de Saint-Hermine'?,من هو مؤلف كتاب 'Chevalier de Saint-Hermine'؟,《Chevalier de Saint-Hermine》这本书的作者是谁？,"Кто автор книги ""Шевалье де Сент-Эрмин""?"
981,1,"Timur founded the Timurid Empire, and Samarkand was chosen as the capital of the state.",In which city did Tamerlane found the capital of his state?,Dans quelle ville Tamerlan a-t-il fondé la capitale de son État ?,In welcher Stadt gründete Timur die Hauptstadt seines Staates?,באיזו עיר ייסד טימור לנג את בירת מדינתו?,في أي مدينة أسس تيمورلنك عاصمة دولته؟,帖木儿在哪座城市建立了他的国家首都？,В каком городе Тамерлан основал столицу своего государства?
982,1,"Neapolis Scythian is an ancient city, one of the Scythian royal fortresses in Crimea, located on the left bank of the Salgir River in the southeastern part of modern-day Simferopol.",Which Crimean city is built on the site of the Scythian Neapolis that existed in the 3rd–2nd centuries BC?,Quelle ville de Crimée est construite sur le site du Néapolis scythe qui existait aux IIIe–IIe siècles av. J.-C. ?,"Welche krimische Stadt wurde an der Stelle des skythischen Neapolis erbaut, das im 3.–2. Jahrhundert v. Chr. existierte?",איזו עיר בחצי האי קרים נבנתה באתר שבו שכן נאופוליס הסקיתי במאות ה-3–2 לפני הספירה?,أي مدينة في شبه جزيرة القرم بُنيت على موقع نيابوليس السكيثية التي وُجدت في القرنين الثالث والثاني قبل الميلاد؟,克里米亚的哪座城市建在公元前3至2世纪存在的斯基泰新城遗址上？,Какой крымский город построен на месте существовавшего в III-II вв до н. э. Неаполя Скифского?
983,0,"A monument to Faina Ranevskaya is installed in her hometown, Taganrog.",In which city is a monument to Faina Ranevskaya installed?,Dans quelle ville un monument à Faina Ranevskaya est-il installé ?,In welcher Stadt steht ein Denkmal für Faina Ranevskaya?,באיזו עיר מוצב פסל לזכרה של פאינה רנבסקאיה?,في أي مدينة يوجد نصب تذكاري لفاينا رانيفسكايا؟,在哪个城市安装了费娜·拉涅夫斯卡娅的纪念碑？,В каком городе установлен памятник Фаине Раневской?
984,1,The National Academy of Sciences of the Republic of Armenia is located in Yerevan.,Where is the Academy of Sciences of Armenia located?,Où se trouve l'Académie des sciences d'Arménie ?,Wo befindet sich die Akademie der Wissenschaften von Armenien?,היכן ממוקמת האקדמיה למדעים של ארמניה?,أين تقع أكاديمية العلوم الأرمينية؟,亚美尼亚科学院位于哪里？,Где расположена Академия наук Армении
985,1,"Manga are Japanese comics, sometimes also called komikku.",What are Japanese comics called?,Comment appelle-t-on les bandes dessinées japonaises ?,Wie nennt man japanische Comics?,איך נקראים קומיקסים יפניים?,ماذا يُطلق على القصص المصورة اليابانية؟,日本的漫画叫什么？,Как называются японские комиксы?
986,1,The Angkor Wat temple complex is located in Cambodia.,In which country is the temple complex of Angkor Wat located?,Dans quel pays se trouve le complexe de temples d'Angkor Wat ?,In welchem Land befindet sich der Tempelkomplex Angkor Wat?,באיזו מדינה נמצא מתחם המקדשים אנגקור ואט?,في أي دولة يقع مجمع معابد أنغكور وات؟,吴哥窟寺庙群位于哪个国家？,В какой стране расположен храмовый комплекс Ангкорвоат?
987,1,"Orthodoxy is the dominant religion in Serbia, and the majority of the Serbian population identifies itself as Orthodox Christians.",What do Serbs believe in?,En quoi croient les Serbes ?,Woran glauben die Serben?,במה מאמינים הסרבים?,بماذا يؤمن الصرب؟,塞尔维亚人信仰什么？,Что исповедуют сербы?
988,0,The International Bank for Reconstruction and Development is located in Washington.,Where is the International Bank for Reconstruction and Development (IBRD) located?,Où se trouve la Banque internationale pour la reconstruction et le développement (BIRD) ?,Wo befindet sich die Internationale Bank für Wiederaufbau und Entwicklung (IBRD)?,היכן ממוקמת הבנק הבינלאומי לשיקום ולפיתוח (IBRD)?,أين يقع البنك الدولي للإنشاء والتعمير (IBRD)؟,国际复兴开发银行（IBRD）位于哪里？,Где находится Международный банк реконструкции и развития (МБРР)?
989,1,"Washington, the capital of the USA, is situated on the north bank of the Potomac.",Which capital stands on the bank of the Potomac?,Quelle capitale se trouve sur la rive du Potomac ?,Welche Hauptstadt liegt am Ufer des Potomac?,איזו עיר בירה שוכנת על גדת נהר הפוטומק?,أي عاصمة تقع على ضفة نهر بوتوماك؟,哪座首都位于波托马克河岸？,Какая столица стоит на берегу Потамака?
990,1,Nikola Tesla International Airport is located in Belgrade.,In which city is the Nikola Tesla International Airport located?,Dans quelle ville se trouve l'aéroport international Nikola Tesla ?,In welcher Stadt befindet sich der Nikola-Tesla-Flughafen?,באיזו עיר נמצא נמל התעופה הבינלאומי ניקולה טסלה?,في أي مدينة يقع مطار نيكولا تسلا الدولي؟,尼古拉·特斯拉国际机场位于哪座城市？,В каком городе находится международный аэропорт «Никола Тесла»?
991,1,"The Apple of Discord, on which ""for the fairest"" was inscribed, became the cause of a quarrel between three goddesses - Hera, Athena, and Aphrodite. The young man Paris was called upon to judge them. He awarded the apple to Aphrodite, who in return helped him abduct Helen, the wife of the Spartan king Menelaus.",Who received the ill-fated 'apple of discord'?,Qui a reçu la fatidique 'pomme de la discorde' ?,Wer erhielt den verhängnisvollen 'Zankapfel'?,מי קיבל את 'תפוח המריבה' הגורלי?,من الذي تلقى 'تفاحة الخلاف' المشؤومة؟,谁收到了那颗不祥的‘纷争之苹果’？,"Кто получил злополучное ""яблоко раздора""?"
992,1,Sarapul is a city in the Udmurt Republic.,In which region of Russia is the ancient city of Sarapul located?,Dans quelle région de la Russie se trouve l'ancienne ville de Sarapoul ?,In welcher Region Russlands befindet sich die antike Stadt Sarapul?,באיזה אזור ברוסיה נמצאת העיר העתיקה סראפול?,في أي منطقة من روسيا تقع المدينة القديمة سارابول؟,萨拉普尔这座古老的城市位于俄罗斯的哪个地区？,В каком регионе России находится старинный город Сарапул?
993,1,"The Lone Star State is the official nickname of the state of Texas, with the single star on its flag symbolizing the state's independent spirit.",Which US state do Americans call the 'Lone Star State'?,Quel État des États-Unis les Américains appellent-ils « l'État de l'Étoile solitaire » ?,Welchen US-Bundesstaat nennen die Amerikaner den ‚Lone Star State‘?,איזה מדינה בארצות הברית האמריקאים מכנים 'מדינת הכוכב הבודד'?,أي ولاية أمريكية يطلق عليها الأمريكيون اسم 'ولاية النجم الوحيد'؟,美国人称哪个州为“孤星州”？,"Какой штат США американцы называют ""Штат Одинокой звезды""?"
994,1,The capital of the Chuvash Republic is the city of Cheboksary.,Which city is the capital of Chuvashia?,Quelle ville est la capitale de la Tchouvachie ?,Welche Stadt ist die Hauptstadt von Tschuwaschien?,איזו עיר היא בירת צ'ובשיה?,ما هي المدينة التي تعد عاصمة تشوفاشيا؟,楚瓦什共和国的首都是哪座城市？,Какой город является столицей Чувашии?
995,1,"The very first broadcast of ""What? Where? When?"" was hosted by Alexander Maslyakov.",Who was the first host of the TV show 'What? Where? When?',Qui a été le premier animateur de l'émission télévisée 'Quoi ? Où ? Quand ?',Wer war der erste Moderator der Fernsehsendung 'Was? Wo? Wann?',מי היה המנחה הראשון של תוכנית הטלוויזיה 'מה? איפה? מתי?',من كان أول مقدم لبرنامج التلفزيون 'ماذا؟ أين؟ متى؟',谁是电视节目《什么？哪里？什么时候？》的第一任主持人？,"Кто был первым ведущим передачи ""Что? Где? Когда?""?"
996,1,Edward Scissorhands is a film by director Tim Burton.,Who directed the film in which Johnny Depp played the role of Edward Scissorhands?,Qui a réalisé le film dans lequel Johnny Depp a joué le rôle d'Edward aux mains d'argent ?,"Wer führte Regie bei dem Film, in dem Johnny Depp die Rolle des Edward mit den Scherenhänden spielte?",מי ביים את הסרט שבו ג'וני דפ גילם את אדוארד הידיים המספריים?,من أخرج الفيلم الذي لعب فيه جوني ديب دور إدوارد ذو الأيدي المقصية؟,约翰尼·德普饰演爱德华剪刀手的那部电影是谁导演的？,Кто снял фильм в котором Джонни Депп сыграл роль Эдварда Руки ножницы?
997,1,"The Three Laws of Robotics in science fiction are a set of mandatory rules of behavior for robots, first introduced by Isaac Asimov in his short story ""Robbie"", but more firmly established in his 1942 story ""Runaround"".",Which science fiction writer invented the three laws of robotics?,Quel écrivain de science-fiction a inventé les trois lois de la robotique ?,Welcher Science-Fiction-Autor hat die drei Gesetze der Robotik erfunden?,איזה סופר מדע בדיוני המציא את שלושת חוקי הרובוטיקה?,أي كاتب خيال علمي اخترع القوانين الثلاثة للروبوتات؟,是哪位科幻作家发明了机器人三定律？,Какой писатель-фантаст придумал три закона робототехники?
998,1,The 272nd Rifle Division was formed in July 1941 from reservists of the Leningrad Oblast in the area of Tikhvin.,Where was the 272nd Rifle Division formed?,Où la 272e division de fusiliers a-t-elle été formée ?,Wo wurde die 272. Schützendivision aufgestellt?,היכן הוקמה הדיוויזיה ה-272 של חיל הרגלים?,أين تم تشكيل فرقة البنادق رقم 272؟,第272步兵师是在哪里组建的？,Где была сформирована 272 стрелковая дивизия?
999,0,San Marino is a republic with a parliamentary form of government.,What is the form of government of San Marino?,Quelle est la forme de gouvernement de Saint-Marin ?,Welche Regierungsform hat San Marino?,מהי צורת הממשל של סן מרינו?,ما هو شكل نظام الحكم في سان مارينو؟,圣马力诺的政体是什么？,Какая форма государственного правления Сан-Марино?
1000,0,The Transfiguration of the Savior Valaam Monastery is a stauropegic male monastery of the Russian Orthodox Church.,To which diocese does the Valaam Monastery belong?,À quel diocèse appartient le monastère de Valaam ?,Zu welcher Diözese gehört das Kloster Walaam?,לאיזו דיוקסיה שייך מנזר ואלם?,إلى أي أبرشية يتبع دير فالام؟,瓦拉姆修道院属于哪个教区？,К какой епархии относится Валаамский монастырь?
1001,1,The Prophet Muhammad was born in Mecca.,In which city was the Prophet Muhammad (Mohammed) born?,Dans quelle ville le prophète Mahomet (Mohammed) est-il né ?,In welcher Stadt wurde der Prophet Mohammed (Muhammad) geboren?,באיזו עיר נולד הנביא מוחמד (מוחמד)?,في أي مدينة وُلِد النبي محمد (محمد)؟,先知穆罕默德（穆罕默德）出生在哪座城市？,В каком городе родился пророк Мухаммед (Магомет)?
1002,1,"Adolf Hitler committed suicide. Had he not done so, the Nuremberg Tribunal would most likely have sentenced him to death by hanging, as it did with many other defendants in the trial.",What fate awaited Hitler?,Quel sort attendait Hitler ?,Welches Schicksal erwartete Hitler?,איזה גורל ציפה להיטלר?,ما هو المصير الذي كان ينتظر هتلر؟,希特勒的命运是什么？,Какая участь ждала Гитлера?
1003,1,"The most full-flowing river on the planet Earth is located in South America, it's the Amazon.",On which continent is the most voluminous river on Earth located?,Sur quel continent se trouve le fleuve le plus volumineux de la Terre ?,Auf welchem Kontinent befindet sich der wasserreichste Fluss der Erde?,באיזה יבשת נמצא הנהר בעל הנפח הגדול ביותר על פני כדור הארץ?,في أي قارة يقع النهر الأكثر غزارة على وجه الأرض؟,地球上流量最大的河流位于哪个大陆？,На каком материке находится самая полноводная река Земли?
1004,1,"The New Testament was written in Koine Greek, which was the common language of the Eastern Mediterranean.","In what language, according to most people, was the New Testament written?","Selon la plupart des gens, dans quelle langue le Nouveau Testament a-t-il été écrit ?",In welcher Sprache wurde das Neue Testament laut den meisten Menschen geschrieben?,"באיזו שפה, לפי רוב האנשים, נכתב הברית החדשה?",وفقًا لمعظم الناس، بأي لغة كُتب العهد الجديد؟,根据大多数人的说法，新约是用什么语言写的？,"На каком языке, по мнению большинства, написан Новый Завет?"
1005,1,"""The Snow Queen"" is a fairy tale by Hans Christian Andersen.",Who wrote The Snow Queen?,Qui a écrit La Reine des neiges ?,Wer hat Die Schneekönigin geschrieben?,מי כתב את מלכת השלג?,من كتب ملكة الثلج؟,谁写了《雪之女王》？,Кто написал Снежную королеву?
1006,1,The Coffee Museum is located in Vienna.,In which Austrian city is the Coffee Museum located?,Dans quelle ville autrichienne se trouve le musée du café ?,In welcher österreichischen Stadt befindet sich das Kaffeemuseum?,באיזו עיר אוסטרית נמצא מוזיאון הקפה?,في أي مدينة نمساوية يقع متحف القهوة؟,奥地利的哪个城市有咖啡博物馆？,В каком австрийском городе расположен Музей кофе?
1007,1,"The Treaty of Riga of 1921 was a treaty between the Russian SFSR (for itself and on behalf of the government of the Byelorussian SSR), the Ukrainian SSR on one side, and the Polish Republic on the other. It was signed on March 18, 1921, in Riga. The ratification of the treaty marked the end of the Polish-Soviet War.",In which city was the treaty that ended the Soviet-Polish War (1919–1921) signed?,Dans quelle ville le traité qui a mis fin à la guerre soviéto-polonaise (1919–1921) a-t-il été signé ?,"In welcher Stadt wurde der Vertrag unterzeichnet, der den Sowjetisch-Polnischen Krieg (1919–1921) beendete?",באיזו עיר נחתם ההסכם שסיים את המלחמה הסובייטית-פולנית (1919–1921)?,في أي مدينة تم توقيع المعاهدة التي أنهت الحرب السوفيتية البولندية (1919–1921)؟,结束苏波战争（1919–1921）的条约是在哪个城市签署的？,"В каком городе был подписан договор, которым завершилась советско-польская война (1919–1921)?"
1008,1,"Mikhail Tal was born in Riga, Latvia.",What city was the hometown of the world chess champion Mikhail Tal?,Quelle ville était la ville natale du champion du monde d'échecs Mikhaïl Tal ?,Welche Stadt war die Heimatstadt des Schachweltmeisters Michail Tal?,איזו עיר הייתה עיר הולדתו של אלוף העולם בשחמט מיכאיל טל?,ما هي المدينة التي كانت مسقط رأس بطل العالم في الشطرنج ميخائيل تال؟,世界国际象棋冠军米哈伊尔·塔尔的家乡是哪个城市？,Какой город был родным для чемпиона мира по шахматам Михаила Таля?
1009,1,"The Bashkirs by faith are Sunni Muslims. In addition to Sunni Muslims, the republic is home to a population that professes Orthodoxy, as well as Old Believers, Baptists, and German settlers-Catholics. In ancient times, the Bashkirs were pagan nomads and professed the ancient religion of the Turkic peoples - Tengrism.",What do the Bashkirs believe in?,En quoi croient les Bachkirs ?,Woran glauben die Baschkiren?,במה מאמינים הבשקירים?,بماذا يؤمن البشكيريون؟,巴什基尔人信仰什么？,Что исповедуют башкиры?
1010,1,The phonograph was invented as a result of Thomas Edison's work on two other inventions: the telephone and the telegraph.,"Who invented the phonograph, a device for recording and reproducing sound?","Qui a inventé le phonographe, un appareil pour enregistrer et reproduire le son ?","Wer hat das Phonograph erfunden, ein Gerät zum Aufnehmen und Wiedergeben von Ton?","מי המציא את הפונוגרף, מכשיר להקלטה והשמעה של צליל?",من اخترع الفونوغراف، وهو جهاز لتسجيل وإعادة إنتاج الصوت؟,是谁发明了留声机，这是一种用于录制和重放声音的设备？,Кто изобрёл фонограф - устройство для записи и воспроизведения голоса?
1011,0,Lexus is a brand of luxury vehicles produced by the Japanese automaker Toyota Motor Corporation.,Which company manufactures Lexus cars?,Quelle entreprise fabrique les voitures Lexus ?,Welche Firma stellt Lexus-Autos her?,איזו חברה מייצרת את רכבי לקסוס?,أي شركة تصنع سيارات لكزس؟,哪家公司生产雷克萨斯汽车？,Какая фирма производит автомобили марки «Lexus»?
1012,0,"Zenit is a Russian football club from Saint Petersburg, playing in the Premier League.",In which league does Zenit play?,Dans quelle ligue joue le Zénith ?,In welcher Liga spielt Zenit?,באיזו ליגה משחקת זניט?,في أي دوري يلعب زينيت؟,泽尼特参加哪个联赛？,В какой лиге играет Зенит?
1013,1,The Classical Symphony was written by Sergei Prokofiev.,Who composed the Classical Symphony?,Qui a composé la Symphonie Classique ?,Wer hat die Klassische Symphonie komponiert?,מי הלחין את הסימפוניה הקלאסית?,من ألّف السيمفونية الكلاسيكية؟,谁创作了古典交响曲？,Кто сочинил симфонию Классическую?
1014,1,"The music for the film ""Alexander Nevsky"" was written by Sergei Prokofiev.",Who is the composer of the music for the film 'Alexander Nevsky'?,Qui est le compositeur de la musique du film 'Alexandre Nevski' ?,Wer ist der Komponist der Musik für den Film 'Alexander Newski'?,מי המלחין של המוזיקה לסרט 'אלכסנדר נבסקי'?,من هو مؤلف موسيقى فيلم 'ألكسندر نيفسكي'؟,谁是电影《亚历山大·涅夫斯基》的作曲家？,"Кто автор музыки к фильму ""Александр Невский""?"
1015,1,Cinderella is a ballet by Sergei Prokofiev.,Who is the author of the ballet Cinderella?,Qui est l'auteur du ballet Cendrillon ?,Wer ist der Autor des Balletts Cinderella?,מי המחבר של הבלט סינדרלה?,من هو مؤلف باليه سندريلا؟,谁是芭蕾舞剧《灰姑娘》的作者？,Кто является автором балета Золушка?
1016,1,"Dolph Lundgren played the role of the Soviet boxer Ivan Drago in the film ""Rocky"".","Who played the role of Soviet officer Ivan Drago, who faced the famous boxer Rocky?","Qui a joué le rôle de l'officier soviétique Ivan Drago, qui a affronté le célèbre boxeur Rocky ?","Wer spielte die Rolle des sowjetischen Offiziers Ivan Drago, der dem berühmten Boxer Rocky gegenüberstand?","מי גילם את דמותו של הקצין הסובייטי איוון דראגו, שהתמודד מול המתאגרף המפורסם רוקי?",من الذي لعب دور الضابط السوفيتي إيفان دراجو، الذي واجه الملاكم الشهير روكي؟,谁扮演了苏联军官伊万·德拉戈，与著名拳击手洛奇对决？,"Кто снялся в роли советского офицера Ивана Драги, противостоящего знаменитому боксеру Рокки?"
1017,1,"Reptiles, or reptilia, are a traditionally recognized class of predominantly terrestrial vertebrate animals, comprising modern turtles, crocodiles, tuataras, and squamates.",Which class of animals is called reptiles?,Quelle classe d'animaux est appelée reptiles ?,Welche Klasse von Tieren wird als Reptilien bezeichnet?,איזו מחלקה של בעלי חיים נקראת זוחלים?,أي فئة من الحيوانات تُسمى الزواحف؟,哪一类动物被称为爬行动物？,Какой класс животных называют рептилиями?
1018,1,The coronation of Napoleon took place at Notre-Dame Cathedral in Paris.,Where did the coronation of Napoleon I take place?,Où a eu lieu le couronnement de Napoléon Ier ?,Wo fand die Krönung von Napoleon I. statt?,היכן התקיימה ההכתרה של נפוליאון הראשון?,أين أُقيم تتويج نابليون الأول؟,拿破仑一世的加冕仪式在哪里举行？,Где прошла коронация Наполеона I?
1019,1,"Stanley Kubrick directed the films ""Spartacus"" and ""Lolita"".",What is the surname of the American director who made the films 'Spartacus' and 'Lolita'?,Quel est le nom de famille du réalisateur américain qui a réalisé les films 'Spartacus' et 'Lolita' ?,"Wie lautet der Nachname des amerikanischen Regisseurs, der die Filme 'Spartacus' und 'Lolita' gemacht hat?",מה שם המשפחה של הבמאי האמריקאי שביים את הסרטים 'ספארטקוס' ו'לוליטה'?,ما هو اسم عائلة المخرج الأمريكي الذي أخرج أفلام 'سبارتاكوس' و'لوليتا'؟,拍摄了《斯巴达克斯》和《洛丽塔》的美国导演姓什么？,"Как фамилия американского режиссёра, снявшего фильмы ""Спартак"" и ""Лолита""?"
1020,1,The Novodevichy Convent in Moscow was founded by Grand Prince Vasily III.,Under which Russian ruler was the Novodevichy Convent in Moscow founded?,Sous quel dirigeant russe le couvent de Novodievitchi à Moscou a-t-il été fondé ?,Unter welchem russischen Herrscher wurde das Nowodewitschi-Kloster in Moskau gegründet?,תחת איזה שליט רוסי נוסד מנזר נובודביצ'י במוסקבה?,في عهد أي حاكم روسي تم تأسيس دير نوفوديفيتشي في موسكو؟,莫斯科的新圣女修道院是在哪位俄罗斯统治者的统治下建立的？,При каком российском правителе был основан Новодевичий монастырь в Москве?
1021,1,Cronus was the father of Zeus.,"Who, according to ancient Greek legends, was the father of Zeus?","Selon les légendes grecques anciennes, qui était le père de Zeus ?",Wer war laut den alten griechischen Legenden der Vater von Zeus?,"לפי האגדות היווניות העתיקות, מי היה אביו של זאוס?",من كان والد زيوس وفقًا للأساطير اليونانية القديمة؟,根据古希腊传说，谁是宙斯的父亲？,"Кто, согласно древнегреческим легендам, был отцом Зевса?"
1022,1,"""The Duellists"" is the first full-length film by British director Ridley Scott.","Whose directorial debut was the film 'The Duellists', which tells the story of a duel between two hussar officers that lasted for 15 years?","Qui a fait ses débuts de réalisateur avec le film 'Les Duellistes', qui raconte l'histoire d'un duel entre deux officiers hussards qui a duré 15 ans ?","Wessen Regiedebüt war der Film 'Die Duellisten', der die Geschichte eines Duells zwischen zwei Husarenoffizieren erzählt, das 15 Jahre andauerte?","של מי היה סרט הביכורים כבמאי 'הדו-קרביסטים', שמספר את סיפורו של דו-קרב בין שני קציני הוסרים שנמשך 15 שנה?",من الذي كان أول أفلامه الإخراجية هو فيلم 'المبارزون'، الذي يروي قصة مبارزة بين ضابطين من الهوسار استمرت لمدة 15 عامًا؟,谁的导演处女作是电影《决斗者》，该片讲述了两位轻骑兵军官之间持续了15年的决斗故事？,"Чьим режиссерским дебютом стал фильм ""Дуэлянты"", рассказывающий о растянувшемся на 15 лет поединке двух гусарских офицеров?"
